id,set_id,pair,eq_dt,eq_length,eq_name,pga,scale_factor
1,1,1,0.02,1050,RSN139_TABAS_DAY-L1,0.3238904,2.064688486
2,1,2,0.02,1050,RSN139_TABAS_DAY-T1,0.409375,2.064688486
3,2,1,0.0029,12712,RSN285_ITALY_A-BAG000,0.129652,1.912542377
4,2,2,0.0029,12712,RSN285_ITALY_A-BAG270,0.1897467,1.912542377
5,3,1,0.0029,13192,RSN286_ITALY_A-BIS000,0.0955313,2.719744329
6,3,2,0.0029,13192,RSN286_ITALY_A-BIS270,0.08254813,2.719744329
7,4,1,0.0024,14672,RSN289_ITALY_A-CTR000,0.1264284,2.080921648
8,4,2,0.0024,14672,RSN289_ITALY_A-CTR270,0.1363679,2.080921648
9,5,1,0.0024,16392,RSN292_ITALY_A-STU000,0.2266578,0.98672163
10,5,2,0.0024,16392,RSN292_ITALY_A-STU270,0.320522,0.98672163
11,6,1,0.01,4132,RSN313_CORINTH_COR--L,0.236771,2.07954236
12,6,2,0.01,4094,RSN313_CORINTH_COR--T,0.2964422,2.07954236
13,7,1,0.01,5999,RSN335_COALINGA.H_H-Z10000,0.07357106,2.556563914
14,7,2,0.01,5999,RSN335_COALINGA.H_H-Z10090,0.1321694,2.556563914
15,8,1,0.0025,4113,RSN495_NAHANNI_S1010,1.107881,1.482628823
16,8,2,0.0025,4113,RSN495_NAHANNI_S1280,1.200681,1.482628823
17,9,1,0.02,2467,RSN587_NEWZEAL_A-MAT083,0.2838931,2.199646541
18,9,2,0.02,2467,RSN587_NEWZEAL_A-MAT353,0.240787,2.199646541
19,10,1,0.005,7998,RSN731_LOMAP_A10000,0.1028556,2.411208147
20,10,2,0.005,7998,RSN731_LOMAP_A10090,0.08896829,2.411208147
21,11,1,0.005,7998,RSN735_LOMAP_A07000,0.1570033,2.954859935
22,11,2,0.005,7999,RSN735_LOMAP_A07090,0.08806617,2.954859935
